SMRS / Project ID,Director,STET SPOC,Program Manager,STET Funnel Project Title,AOS Impact  (Enter €0 if not AOS Project),QN Reduction Impact (Enter €0 if not CONQ Project),"Project Type (PRODUCTIVITY, AOS, LCM, NPI, CART PDC, TEST ENG, CONQ, IGM)","Procurement Type (PROCUREMENT, TCO, N/A)","Savings Type (TCO, CONCEPT, SOURCING, NEGO, NON_12NC, NPP, CONQ, FCP & PPV)",Commodity,BU,Cluster,Current IL,IL5 Date,%23 Parts of Dual Sourced,2019 Actual (Euro),2020 Actual (Euro),2021 Actual (Euro),2022 Funnel (Euro),2022 Actual (Euro),2023 Funnel (Euro),2023 Actual (Euro),2024 Funnel (Euro),2024 Actual (Euro),2025 Funnel (Euro),2025 Actual (Euro),2026 Funnel (Euro),2026 Actual (Euro),2027 Funnel (Euro),2027 Actual (Euro),2028 Funnel (Euro),2028 Actual (Euro),Impacted Parts Added? (YES_NO_N/A) Needs to be YES or N/A for all IL5 Projects,Are Any STET SQE Resources Applied to Project? (YES_NO_N/A),Week,Comments / Challenges,FTE STET SPOC (Text),FTE Project Title (Text),FTE Director (Text),FTE Procurement Type (Text),FTE Project Type (Text),FTE Savings Type (Text),FTE Commodity (Text),FTE BU (Text),FTE Cluster (Text),FTE Current IL (Text),Project ID_Description,ID,New,NewItemID,Created,Modified,Modified By,SourceID,Is Active
ART-India,Raj,Vijayanand Purushothaman,Saravanakumar Palani,LCM Support for India,€ 0,€ 0,LCM,N/A,SOURCING,Mechanical Parts & Assemblies,IGT-S,IGT,IL3,12/30/2026,0,€ 0.00,€ 0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,,,,,,,N/A,NO,19,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?PageType=4&ListId=%7BE59B70F3%2DD2C8%2D4524%2DAC63%2D41E47F0CF06C%7D&ID=4363"">View Entries</a>",Vijayanand Purushothaman,LCM Support for India,Raj,N/A,LCM,SOURCING,Mechanical Parts & Assemblies,IGT-S,IGT,IL3,ART-India=LCM Support for India,4363,0,,4/10/2023 9:34 PM,5/13/2026 5:59 AM,"Kumari, Supriya",5048,Yes
28816,Raj,Sushruth Rudrachary,Saravanakumar Palani,Dragon Den - Repair & Reuse ( Circual Ecconomy - PCI-2020-074),€ 0,€ 0,PRODUCTIVITY,PROCUREMENT,CONCEPT,Mechanical Parts & Assemblies,IGT-S,IGT,IL0,12/31/2027,0,€ 0.00,€ 0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0.00,€ 0.00,"€ 233,334",€ 0,,,N/A,NO,33,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?PageType=4&ListId=%7BE59B70F3%2DD2C8%2D4524%2DAC63%2D41E47F0CF06C%7D&ID=4365"">View Entries</a>",Sushruth Rudrachary,Dragon Den - Repair & Reuse ( Circual Ecconomy - PCI-2020-074),Raj,PROCUREMENT,PRODUCTIVITY,CONCEPT,Mechanical Parts & Assemblies,IGT-S,IGT,IL0,28816=Dragon Den - Repair & Reuse ( Circual Ecconomy - PCI-2020-074),4365,0,,4/10/2023 9:37 PM,8/19/2026 9:36 PM,"Kumari, Supriya",4187,Yes
36383,Raj,Vijayanand Purushothaman,Pushkar Kulkarni,Jabil Exit,€ 0,€ 0,PRODUCTIVITY,PROCUREMENT,SOURCING,Key Components & Electronics,IGT-MoS,IGT,IL5,4/1/2026,0,€ 0.00,€ 0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0.00,€ 0.00,€ 0,€ 0,,,N/A,NO,19,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?PageType=4&ListId=%7BE59B70F3%2DD2C8%2D4524%2DAC63%2D41E47F0CF06C%7D&ID=4369"">View Entries</a>",Vijayanand Purushothaman,Jabil Exit,Raj,PROCUREMENT,PRODUCTIVITY,SOURCING,Key Components & Electronics,IGT-MoS,IGT,IL5,36383=Jabil Exit,4369,0,,4/10/2023 9:38 PM,5/14/2026 10:50 AM,"Kumari, Supriya",4824,Yes
36460,Raj,Kulasekhar (KK),Karuna Naidu,3DWS-PC move to Techdata ( OoW),€ 0,€ 0,PRODUCTIVITY,PROCUREMENT,SOURCING,Repair Centers & Service Parts,IGT-S,IGT,IL4,7/31/2027,0,€ 0.00,€ 0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,"€ 51,915.00",€ 0.00,"€ 37,085",€ 0,,,N/A,NO,31,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?PageType=4&ListId=%7BE59B70F3%2DD2C8%2D4524%2DAC63%2D41E47F0CF06C%7D&ID=4371"">View Entries</a>",Kulasekhar (KK),3DWS-PC move to Techdata ( OoW),Raj,PROCUREMENT,PRODUCTIVITY,SOURCING,Repair Centers & Service Parts,IGT-S,IGT,IL4,36460=3DWS-PC move to Techdata ( OoW),4371,0,,4/10/2023 9:38 PM,8/4/2026 3:45 AM,"Kumari, Supriya",Lists%252fFunnel%2bManagement%2bList%252f4842_.000,Yes
36529,Raj,Kulasekhar (KK),"Kale, Anuja Babanrao",Move Repair of 45980002241/2/3 PHI-DVI-16416 Matrix to Techdata,€ 0,€ 0,PRODUCTIVITY,PROCUREMENT,CONCEPT,Repair Centers & Service Parts,IGT-S,IGT,IL5,6/1/2026,0,€ 0.00,€ 0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,"€ 30,000.00",€ 0.00,"€ 10,000",€ 0,,,N/A,NO,32,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?PageType=4&ListId=%7BE59B70F3%2DD2C8%2D4524%2DAC63%2D41E47F0CF06C%7D&ID=4373"">View Entries</a>",Kulasekhar (KK),Move Repair of 45980002241/2/3 PHI-DVI-16416 Matrix to Techdata,Raj,PROCUREMENT,PRODUCTIVITY,CONCEPT,Repair Centers & Service Parts,IGT-S,IGT,IL5,36529=Move Repair of 45980002241/2/3 PHI-DVI-16416 Matrix to Techdata,4373,0,,4/10/2023 9:38 PM,8/9/2026 10:15 PM,"Kumari, Supriya",Lists%252fFunnel%2bManagement%2bList%252f4855_.000,Yes
ART-China,Raj,Vijayanand Purushothaman,Saravanakumar Palani,LCM Support for China,€ 0,€ 0,LCM,N/A,SOURCING,Mechanical Parts & Assemblies,IGT-S,IGT,IL3,12/30/2026,0,€ 0.00,€ 0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,,,,,,,N/A,NO,19,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?PageType=4&ListId=%7BE59B70F3%2DD2C8%2D4524%2DAC63%2D41E47F0CF06C%7D&ID=4376"">View Entries</a>",Vijayanand Purushothaman,LCM Support for China,Raj,N/A,LCM,SOURCING,Mechanical Parts & Assemblies,IGT-S,IGT,IL3,ART-China=LCM Support for China,4376,0,,4/10/2023 9:38 PM,5/13/2026 5:59 AM,"Kumari, Supriya",5047,Yes
CR170919,Raj,Vijayanand Purushothaman,Pushkar Kulkarni,PCAP Project ( Barco Monitor Obso Mitigation),€ 0,€ 0,LCM,N/A,SOURCING,Key Components & Electronics,IGT-MoS,IGT,IL5,3/1/2026,0,€ 0.00,€ 0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0.00,€ 0.00,€ 0,€ 0,,,N/A,NO,19,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?PageType=4&ListId=%7BE59B70F3%2DD2C8%2D4524%2DAC63%2D41E47F0CF06C%7D&ID=4394"">View Entries</a>",Vijayanand Purushothaman,PCAP Project ( Barco Monitor Obso Mitigation),Raj,N/A,LCM,SOURCING,Key Components & Electronics,IGT-MoS,IGT,IL5,CR170919=PCAP Project ( Barco Monitor Obso Mitigation),4394,0,,4/10/2023 9:38 PM,5/14/2026 11:00 AM,"Kumari, Supriya",5435,Yes
D001208366,Raj,Vijayanand Purushothaman,Saravanakumar Palani,PMDR Obsolescence,€ 0,€ 0,LCM,N/A,CONCEPT,Key Components & Electronics,IGT-S,IGT,IL3,8/30/2026,0,€ 0.00,€ 0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,,,,,,,N/A,NO,28,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?PageType=4&ListId=%7BE59B70F3%2DD2C8%2D4524%2DAC63%2D41E47F0CF06C%7D&ID=4398"">View Entries</a>",Vijayanand Purushothaman,PMDR Obsolescence,Raj,N/A,LCM,CONCEPT,Key Components & Electronics,IGT-S,IGT,IL3,D001208366=PMDR Obsolescence,4398,0,,4/10/2023 9:38 PM,7/13/2026 6:54 AM,"Kumari, Supriya",Lists%252fFunnel%2bManagement%2bList%252f5689_.000,Yes
31503,Phil,Adrianna Davis,Adrianna Davis,X-DEF cost improvement for Octavia HV Powerblock,€ 0,€ 0,PRODUCTIVITY,PROCUREMENT,CONCEPT,Key Components & Electronics,MR,PD,IL5,7/31/2026,0,€ 0.00,€ 0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0.00,€ 0.00,€ 0,€ 0,,,NO,NO,27,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?PageType=4&ListId=%7BE59B70F3%2DD2C8%2D4524%2DAC63%2D41E47F0CF06C%7D&ID=4419"">View Entries</a>",Adrianna Davis,X-DEF cost improvement for Octavia HV Powerblock,Phil,PROCUREMENT,PRODUCTIVITY,CONCEPT,Key Components & Electronics,MR,PD,IL5,31503=X-DEF cost improvement for Octavia HV Powerblock,4419,0,,4/10/2023 9:45 PM,7/9/2026 7:33 AM,"Kumari, Supriya",Lists%252fFunnel%2bManagement%2bList%252f4344_.000,Yes
33028,Phil,Adrianna Davis,Adrianna Davis,Redesign Hawk PCBA's - Hawk Gantry Display,€ 0,€ 0,LCM,PROCUREMENT,CONCEPT,Key Components & Electronics,CT/AMI,PD,IL5,7/31/2025,0,€ 0.00,€ 0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0.00,€ 0.00,€ 0,€ 0,,,N/A,NO,19,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?PageType=4&ListId=%7BE59B70F3%2DD2C8%2D4524%2DAC63%2D41E47F0CF06C%7D&ID=4421"">View Entries</a>",Adrianna Davis,Redesign Hawk PCBA's - Hawk Gantry Display,Phil,PROCUREMENT,LCM,CONCEPT,Key Components & Electronics,CT/AMI,PD,IL5,33028=Redesign Hawk PCBA's - Hawk Gantry Display,4421,0,,4/10/2023 9:45 PM,5/13/2026 5:59 AM,"Kumari, Supriya",4461,Yes
33233,Phil,Johnson Jiang,Johnson Jiang,Qin Ling_Second Source for High power cable,€ 0,€ 0,PRODUCTIVITY,PROCUREMENT,SOURCING,Key Components & Electronics,MR,PD,IL3,12/31/2026,0,€ 0.00,€ 0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0.00,€ 0.00,€ 0,€ 0,,,NO,NO,24,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?PageType=4&ListId=%7BE59B70F3%2DD2C8%2D4524%2DAC63%2D41E47F0CF06C%7D&ID=4422"">View Entries</a>",Johnson Jiang,Qin Ling_Second Source for High power cable,Phil,PROCUREMENT,PRODUCTIVITY,SOURCING,Key Components & Electronics,MR,PD,IL3,33233=Qin Ling_Second Source for High power cable,4422,0,,4/10/2023 9:45 PM,6/17/2026 8:03 AM,"Kumari, Supriya",Lists%252fFunnel%2bManagement%2bList%252f4485_.000,Yes
33884,Phil,Adrianna Davis,Adrianna Davis,De-Risk: Dual-source/phase out KSG as manufacturer for remaining Certeray PCB,€ 0,€ 0,PRODUCTIVITY,PROCUREMENT,SOURCING,Key Components & Electronics,MR,PD,IL3,8/31/2026,0,€ 0.00,€ 0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,"€ 238,000.00",€ 0.00,€ 0,€ 0,,,NO,NO,19,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?PageType=4&ListId=%7BE59B70F3%2DD2C8%2D4524%2DAC63%2D41E47F0CF06C%7D&ID=4423"">View Entries</a>",Adrianna Davis,De-Risk: Dual-source/phase out KSG as manufacturer for remaining Certeray PCB,Phil,PROCUREMENT,PRODUCTIVITY,SOURCING,Key Components & Electronics,MR,PD,IL3,33884=De-Risk: Dual-source/phase out KSG as manufacturer for remaining Certeray PCB,4423,0,,4/10/2023 9:45 PM,5/13/2026 5:59 AM,"Kumari, Supriya",4564,Yes
35121,Phil,Adrianna Davis,Adrianna Davis,Vega - Insource of HTS Leads Assembly 459801169622,€ 0,€ 0,0,PROCUREMENT,NPP,Medical ODM Markets,MR,PD,ILR,12/31/2027,0,€ 0.00,€ 0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0.00,€ 0.00,€ 0,€ 0,,,NO,NO,24,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?PageType=4&ListId=%7BE59B70F3%2DD2C8%2D4524%2DAC63%2D41E47F0CF06C%7D&ID=4424"">View Entries</a>",Adrianna Davis,Vega - Insource of HTS Leads Assembly 459801169622,Phil,PROCUREMENT,0,NPP,Medical ODM Markets,MR,PD,ILR,35121=Vega - Insource of HTS Leads Assembly 459801169622,4424,0,,4/10/2023 9:45 PM,6/16/2026 6:56 AM,"Kumari, Supriya",Lists%252fFunnel%2bManagement%2bList%252f4675_.000,Yes
35325,Phil,Adrianna Davis,Adrianna Davis,Toray De-risk(Noah tabletop),€ 0,€ 0,PRODUCTIVITY,PROCUREMENT,SOURCING,Mechanical Parts & Assemblies,CT/AMI,PD,IL0,7/30/2027,0,€ 0.00,€ 0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0.00,€ 0.00,€ 0,€ 0,,,NO,NO,19,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?PageType=4&ListId=%7BE59B70F3%2DD2C8%2D4524%2DAC63%2D41E47F0CF06C%7D&ID=4426"">View Entries</a>",Adrianna Davis,Toray De-risk(Noah tabletop),Phil,PROCUREMENT,PRODUCTIVITY,SOURCING,Mechanical Parts & Assemblies,CT/AMI,PD,IL0,35325=Toray De-risk(Noah tabletop),4426,0,,4/10/2023 9:45 PM,5/13/2026 5:59 AM,"Kumari, Supriya",4699,Yes
