SMRS / Project ID,Director,STET SPOC,Program Manager,STET Funnel Project Title,AOS Impact  (Enter €0 if not AOS Project),AOS Impact Approved or Not,QN Reduction Impact (Enter €0 if not CONQ Project),"Project Type (PRODUCTIVITY, AOS, LCM, NPI, CART PDC, TEST ENG, CONQ, IGM)","Procurement Type (PROCUREMENT, TCO, N/A)","Savings Type (TCO, CONCEPT, SOURCING, NEGO, NON_12NC, NPP, CONQ, FCP & PPV)",Commodity,BU,Cluster,Current IL,IL5 Date,%23 of Parts Dual Sourced (PASSIVE),%23 of Parts Dual Sourced (ACTIVE),2022 Actual (Euro),2023 Funnel (Euro),2023 Actual (Euro),2024 Funnel (Euro),2024 Actual (Euro),2025 Funnel (Euro),2025 Actual (Euro),2026 Funnel (Euro),2026 Actual (Euro),2027 Funnel (Euro),2027 Actual (Euro),2028 Funnel (Euro),2028 Actual (Euro),Impacted Parts Added? (YES_NO_N/A) Needs to be YES or N/A for all IL5 Projects,Are Any STET SQE Resources Applied to Project? (YES_NO_N/A),Comments / Challenges,Week,Attachments,ID,IL Date Format column,August IL5 IDs,IL Date Correction,Year,Month,Modified,Modified By,Created,2019 Actual (Euro),2020 Actual (Euro),2021 Actual (Euro),2022 Funnel (Euro),Created By,Supplier Transfer,Transfer reason,Is Active
RfS-G&B-0898,Tim,Sushruth Rudrachary,Anjali Nigam,RfS-G&B-0898-Phase Out Sigma_Ascalon_Alpha Growth Region,€ 0.00,Not Applicable,€ 0,LCM,N/A,CONCEPT,Personal Health,GB,PH,IL3,10/31/2027,0,0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0,€ 0,N/A,N/A,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?ListId=%7B23B2CA78%2D78E8%2D461B%2D8B8A%2D5DEB61E088EE%7D&PageType=4&ID=12460"">View Entries</a>",37,0,12460,10-2027,True,True,2027,10,9/11/2026 8:36 AM,"Davis, Adrianna",9/11/2026 4:17 AM,,,,,"Kumari, Supriya",No,N/A,Yes
RfS-G&B-0909,Tim,Sushruth Rudrachary,Anjali Nigam,RfS-G&B-0909-MRP Change,€ 0.00,Not Applicable,€ 0,LCM,N/A,CONCEPT,Personal Health,GB,PH,IL5,9/30/2026,0,0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0,€ 0,N/A,N/A,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?ListId=%7B23B2CA78%2D78E8%2D461B%2D8B8A%2D5DEB61E088EE%7D&PageType=4&ID=12459"">View Entries</a>",37,0,12459,09-2026,True,True,2026,09,9/11/2026 8:36 AM,"Davis, Adrianna",9/11/2026 4:17 AM,,,,,"Kumari, Supriya",No,N/A,Yes
RfS-G&B-1099,Tim,Sushruth Rudrachary,Anjali Nigam,RfS-G&B-1099-Extend BG1024/16 to Tansania,€ 0.00,Not Applicable,€ 0,Commercial Innovation,IGM,Commercial Innovation,Personal Health,GB,PH,IL3,4/30/2027,0,0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0,€ 0,N/A,N/A,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?ListId=%7B23B2CA78%2D78E8%2D461B%2D8B8A%2D5DEB61E088EE%7D&PageType=4&ID=12458"">View Entries</a>",37,0,12458,04-2027,True,True,2027,04,9/11/2026 8:36 AM,"Davis, Adrianna",9/11/2026 4:17 AM,,,,,"Kumari, Supriya",No,N/A,Yes
RfS-G&B-1121,Tim,Sushruth Rudrachary,Anjali Nigam,RfS-G&B-1121-Repeat molds trimmer parts,€ 0.00,Not Applicable,€ 0,LCM,N/A,CONCEPT,Personal Health,GB,PH,IL2,8/31/2027,0,0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0,€ 0,N/A,N/A,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?ListId=%7B23B2CA78%2D78E8%2D461B%2D8B8A%2D5DEB61E088EE%7D&PageType=4&ID=12457"">View Entries</a>",37,0,12457,08-2027,True,True,2027,08,9/11/2026 8:36 AM,"Davis, Adrianna",9/11/2026 4:16 AM,,,,,"Kumari, Supriya",No,N/A,Yes
RfS-G&B-1115,Tim,Sushruth Rudrachary,Ajinkya Bhat,"Release cost-saving resin for shaver P-cap
",€ 0.00,Not Applicable,€ 0,PRODUCTIVITY,PROCUREMENT,SOURCING,Personal Health,GB,PH,IL1,3/31/2027,0,0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0,€ 0,N/A,N/A,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?ListId=%7B23B2CA78%2D78E8%2D461B%2D8B8A%2D5DEB61E088EE%7D&PageType=4&ID=12456"">View Entries</a>",37,0,12456,03-2027,True,True,2027,03,9/11/2026 8:36 AM,"Davis, Adrianna",9/4/2026 12:40 AM,,,,,"Kumari, Supriya",No,N/A,Yes
RfS-G&B-1154,Tim,Sushruth Rudrachary,Ajinkya Bhat,"""Phase out of unique Mexican warranty leaflet (300006282493). Replace it with Warranty leaflet Africa APAC LATAM (300017267712)
Make sure that the countries mentioned in the attached file still have a paper version of the IWL in the F-box (300017267712).""",€ 0.00,Not Applicable,€ 0,LCM,N/A,CONCEPT,Personal Health,GB,PH,IL0,3/31/2027,0,0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0,€ 0,N/A,N/A,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?ListId=%7B23B2CA78%2D78E8%2D461B%2D8B8A%2D5DEB61E088EE%7D&PageType=4&ID=12455"">View Entries</a>",36,0,12455,03-2027,True,True,2027,03,9/4/2026 7:39 AM,"Davis, Adrianna",9/4/2026 12:40 AM,,,,,"Kumari, Supriya",No,N/A,Yes
RfS-G&B-1155,Tim,Sushruth Rudrachary,Ajinkya Bhat,"""Phase out of unique Mexican warranty leaflet (300006282493). Replace it with Warranty leaflet Africa APAC LATAM (300017267712)
Make sure that the countries mentioned in the attached file still have a paper version of the IWL in the F-box (300017267712).""",€ 0.00,Not Applicable,€ 0,LCM,N/A,CONCEPT,Personal Health,GB,PH,IL0,3/31/2027,0,0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0,€ 0,N/A,N/A,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?ListId=%7B23B2CA78%2D78E8%2D461B%2D8B8A%2D5DEB61E088EE%7D&PageType=4&ID=12454"">View Entries</a>",36,0,12454,03-2027,True,True,2027,03,9/4/2026 7:39 AM,"Davis, Adrianna",9/4/2026 12:40 AM,,,,,"Kumari, Supriya",No,N/A,Yes
RfS-G&B-1156,Tim,Sushruth Rudrachary,Ajinkya Bhat,"""Phase out of unique Mexican warranty leaflet (300006282493). Replace it with Warranty leaflet Africa APAC LATAM (300017267712)
Make sure that the countries mentioned in the attached file still have a paper version of the IWL in the F-box (300017267712).""",€ 0.00,Not Applicable,€ 0,LCM,N/A,CONCEPT,Personal Health,GB,PH,IL0,3/31/2027,0,0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0,€ 0,N/A,N/A,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?ListId=%7B23B2CA78%2D78E8%2D461B%2D8B8A%2D5DEB61E088EE%7D&PageType=4&ID=12453"">View Entries</a>",36,0,12453,03-2027,True,True,2027,03,9/4/2026 7:39 AM,"Davis, Adrianna",9/4/2026 12:40 AM,,,,,"Kumari, Supriya",No,N/A,Yes
RfS-G&B-1147,Tim,Sushruth Rudrachary,Ajinkya Bhat,"""Phase out of unique Mexican warranty leaflet (300006282493). Replace it with Warranty leaflet Africa APAC LATAM (300017267712)
Make sure that the countries mentioned in the attached file still have a paper version of the IWL in the F-box (300017267712).""",€ 0.00,Not Applicable,€ 0,LCM,N/A,CONCEPT,Personal Health,GB,PH,IL0,3/31/2027,0,0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0,€ 0,N/A,N/A,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?ListId=%7B23B2CA78%2D78E8%2D461B%2D8B8A%2D5DEB61E088EE%7D&PageType=4&ID=12452"">View Entries</a>",36,0,12452,03-2027,True,True,2027,03,9/4/2026 7:39 AM,"Davis, Adrianna",9/4/2026 12:40 AM,,,,,"Kumari, Supriya",No,N/A,Yes
RfS-G&B-1133,Tim,Sushruth Rudrachary,Ajinkya Bhat,"Philips Owned Assets at supplier Rompa - Request GSAM Henry Huan
",€ 0.00,Not Applicable,€ 0,LCM,PROCUREMENT,SOURCING,Personal Health,GB,PH,IL0,3/31/2027,0,0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0,€ 0,N/A,N/A,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?ListId=%7B23B2CA78%2D78E8%2D461B%2D8B8A%2D5DEB61E088EE%7D&PageType=4&ID=12451"">View Entries</a>",36,0,12451,03-2027,True,True,2027,03,9/4/2026 7:39 AM,"Davis, Adrianna",9/4/2026 12:40 AM,,,,,"Kumari, Supriya",No,N/A,Yes
RfS-G&B-1114,Tim,Sushruth Rudrachary,Ajinkya Bhat,"Release cost-saving resin for shaver P-cap
",€ 0.00,Not Applicable,€ 0,PRODUCTIVITY,PROCUREMENT,SOURCING,Personal Health,GB,PH,IL1,3/31/2027,0,0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,"€ 24,455",€ 0,"€ 4,891",€ 0,N/A,N/A,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?ListId=%7B23B2CA78%2D78E8%2D461B%2D8B8A%2D5DEB61E088EE%7D&PageType=4&ID=12450"">View Entries</a>",36,0,12450,03-2027,True,True,2027,03,9/4/2026 7:39 AM,"Davis, Adrianna",9/4/2026 12:40 AM,,,,,"Kumari, Supriya",No,N/A,Yes
RfS-G&B-1128,Tim,Sushruth Rudrachary,Ajinkya Bhat,"ROA S7886/35 Extension
",€ 0.00,Not Applicable,€ 0,LCM,N/A,CONCEPT,Personal Health,GB,PH,IL1,3/31/2027,0,0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0,€ 0,N/A,N/A,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?ListId=%7B23B2CA78%2D78E8%2D461B%2D8B8A%2D5DEB61E088EE%7D&PageType=4&ID=12449"">View Entries</a>",36,0,12449,03-2027,True,True,2027,03,9/4/2026 7:39 AM,"Davis, Adrianna",9/4/2026 12:40 AM,,,,,"Kumari, Supriya",No,N/A,Yes
RfS-G&B-1084,Tim,Sushruth Rudrachary,Ajinkya Bhat,TS201 - 1 12NC for Zhuhai and Batam,€ 0.00,Not Applicable,€ 0,LCM,N/A,CONCEPT,Personal Health,GB,PH,IL0,3/31/2027,0,0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0,€ 0,N/A,N/A,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?ListId=%7B23B2CA78%2D78E8%2D461B%2D8B8A%2D5DEB61E088EE%7D&PageType=4&ID=12448"">View Entries</a>",36,0,12448,03-2027,True,True,2027,03,9/4/2026 7:40 AM,"Davis, Adrianna",9/4/2026 12:40 AM,,,,,"Kumari, Supriya",No,N/A,Yes
RfS-G&B-0654,Tim,Sushruth Rudrachary,Ajinkya Bhat,Switch Adapter HQ87 supply from Salom to PIE (INDIA version are excluded),€ 0.00,Not Applicable,€ 0,LCM,PROCUREMENT,SOURCING,Personal Health,GB,PH,IL1,3/31/2027,0,0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0,€ 0,N/A,N/A,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?ListId=%7B23B2CA78%2D78E8%2D461B%2D8B8A%2D5DEB61E088EE%7D&PageType=4&ID=12447"">View Entries</a>",36,0,12447,03-2027,True,True,2027,03,9/4/2026 7:40 AM,"Davis, Adrianna",9/4/2026 12:40 AM,,,,,"Kumari, Supriya",No,N/A,Yes
RfS-G&B-1071,Tim,Sushruth Rudrachary,Ajinkya Bhat,Mass update of 2nd source BOMs to mitigate MLCC and Resistor shortages,€ 0.00,Not Applicable,€ 0,LCM,PROCUREMENT,SOURCING,Personal Health,GB,PH,IL2,3/31/2027,0,0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0,€ 0,N/A,N/A,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?ListId=%7B23B2CA78%2D78E8%2D461B%2D8B8A%2D5DEB61E088EE%7D&PageType=4&ID=12446"">View Entries</a>",36,0,12446,03-2027,True,True,2027,03,9/4/2026 7:40 AM,"Davis, Adrianna",9/4/2026 12:40 AM,,,,,"Kumari, Supriya",No,N/A,Yes
RfS-G&B-1058,Tim,Sushruth Rudrachary,Ajinkya Bhat,Last 2 FG packs with plastic blister to paper-based,€ 0.00,Not Applicable,€ 0,LCM,N/A,CONCEPT,Personal Health,GB,PH,IL1,3/31/2027,0,0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0,€ 0,N/A,N/A,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?ListId=%7B23B2CA78%2D78E8%2D461B%2D8B8A%2D5DEB61E088EE%7D&PageType=4&ID=12445"">View Entries</a>",36,0,12445,03-2027,True,True,2027,03,9/4/2026 7:40 AM,"Davis, Adrianna",9/4/2026 12:40 AM,,,,,"Kumari, Supriya",No,N/A,Yes
RfS-G&B-1132,Tim,Sushruth Rudrachary,Rohit Bakare,"Coflourish decide to stop collaboration with Philips
",€ 0.00,Not Applicable,€ 0,LCM,N/A,CONCEPT,Personal Health,GB,PH,IL2,6/30/2027,0,0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0,€ 0,N/A,N/A,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?ListId=%7B23B2CA78%2D78E8%2D461B%2D8B8A%2D5DEB61E088EE%7D&PageType=4&ID=12443"">View Entries</a>",36,0,12443,06-2027,True,True,2027,06,9/3/2026 10:49 AM,"Davis, Adrianna",9/3/2026 9:16 AM,,,,,"Kumari, Supriya",No,N/A,Yes
RfS-G&B-1129,Tim,Sushruth Rudrachary,Rohit Bakare,"Molded parts from Wehrle to new supplier
",€ 0.00,Not Applicable,€ 0,LCM,N/A,CONCEPT,Personal Health,GB,PH,IL2,6/30/2027,0,0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0,€ 0,N/A,N/A,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?ListId=%7B23B2CA78%2D78E8%2D461B%2D8B8A%2D5DEB61E088EE%7D&PageType=4&ID=12442"">View Entries</a>",36,0,12442,06-2027,True,True,2027,06,9/3/2026 10:49 AM,"Davis, Adrianna",9/3/2026 9:16 AM,,,,,"Kumari, Supriya",No,N/A,Yes
RfS-G&B-1096,Tim,Sushruth Rudrachary,Rohit Bakare,"Approval request for alternative MOSFET component
",€ 0.00,Not Applicable,€ 0,LCM,N/A,CONCEPT,Personal Health,GB,PH,IL2,6/30/2027,0,0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0,€ 0,N/A,N/A,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?ListId=%7B23B2CA78%2D78E8%2D461B%2D8B8A%2D5DEB61E088EE%7D&PageType=4&ID=12441"">View Entries</a>",36,0,12441,06-2027,True,True,2027,06,9/3/2026 10:49 AM,"Davis, Adrianna",9/3/2026 9:16 AM,,,,,"Kumari, Supriya",No,N/A,Yes
RfS-G&B-1036,Tim,Sushruth Rudrachary,Rohit Bakare,"Material change unit bottom Phoenix
",€ 0.00,Not Applicable,€ 0,LCM,N/A,CONCEPT,Personal Health,GB,PH,IL2,6/30/2027,0,0,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0,€ 0,€ 0,€ 0,N/A,N/A,"<a href=""https://share.philips.com/sites/STET_PMO/_layouts/15/listform.aspx?ListId=%7B23B2CA78%2D78E8%2D461B%2D8B8A%2D5DEB61E088EE%7D&PageType=4&ID=12440"">View Entries</a>",36,0,12440,06-2027,True,True,2027,06,9/3/2026 10:49 AM,"Davis, Adrianna",9/3/2026 9:16 AM,,,,,"Kumari, Supriya",No,N/A,Yes
